A=Rank	B=Calculator Keyword	C=Category	D=Monthly Volume (US)	E=KD	F=CPC (USD)	G=Search Intent	H=SERP Features
A=1	B=bmi calculator	C=Health & Fitness	D=4090000	E=95	F=0.18	G=Informational	H=AI Overview, Video, Related searches
A=2	B=mortgage calculator	C=Finance & Loans	D=2740000	E=88	F=0.69	G=Commercial	H=Sitelinks, Video, Related searches, Things to know, Ads bottom
A=3	B=calorie calculator	C=Health & Fitness	D=2240000	E=100	F=0.99	G=Informational	H=Video, Related searches
A=4	B=age calculator	C=Date & Time	D=823000	E=76	F=1.58	G=Navigational	H=Sitelinks, Video, Related searches
A=5	B=loan calculator	C=Finance & Loans	D=823000	E=83	F=1.03	G=Commercial	H=Video, Related searches
A=6	B=tip calculator	C=Other & Misc	D=673000	E=49	F=0.37	G=Informational	H=Video, People also ask, Related searches
A=7	B=paycheck calculator	C=Finance & Loans	D=450000	E=87	F=5.33	G=Informational, Commercial	H=Video, People also ask, Related searches
A=8	B=compound interest calculator	C=Finance & Loans	D=673000	E=65	F=0.33	G=Informational	H=Video, Related searches
A=9	B=concrete calculator	C=Home & Construction	D=368000	E=28	F=1.36	G=Informational	H=Image pack, Video, Related searches
A=10	B=grade calculator	C=Education & Grades	D=673000	E=55	F=0	G=Informational	H=Video, Related searches
A=11	B=percentage calculator	C=Math & Science	D=450000	E=87	F=3.19	G=Informational	H=Instant answer, Image pack, Video, Related searches
A=12	B=time calculator	C=Date & Time	D=550000	E=84	F=1.3	G=Informational, Transactional	H=Video, Related searches
A=13	B=inflation calculator	C=Finance & Loans	D=450000	E=86	F=1.67	G=Informational	H=Video, Related searches, Ads bottom
A=14	B=car loan calculator	C=Finance & Loans	D=550000	E=81	F=0.33	G=Informational	H=Sitelinks, Video, Related searches
A=15	B=investment calculator	C=Finance & Loans	D=450000	E=67	F=0.39	G=Informational	H=Video, Related searches
A=16	B=fraction calculator	C=Math & Science	D=368000	E=58	F=0.76	G=Informational	H=Video, Related searches
A=17	B=tdee calculator	C=Health & Fitness	D=368000	E=50	F=0.33	G=Informational	H=Video, People also ask, Related searches
A=18	B=scientific calculator	C=Other & Misc	D=368000	E=69	F=0.76	G=Informational	H=Sitelinks, Instant answer, Video, Related searches
A=19	B=car payment calculator	C=Finance & Loans	D=450000	E=80	F=0.25	G=Informational	H=Sitelinks, Video, Related searches
A=20	B=date calculator	C=Date & Time	D=368000	E=83	F=0.83	G=Informational, Transactional	H=Video, Related searches
A=21	B=due date calculator	C=Pregnancy & Baby	D=368000	E=69	F=0.12	G=Informational	H=Sitelinks, Video, Related searches
A=22	B=love calculator	C=Other & Misc	D=301000	E=52	F=0.05	G=Informational	H=Video, Related searches
A=23	B=bac calculator	C=Health & Fitness	D=135000	E=48	F=4.4	G=Informational	H=Image pack, Video, Related searches
A=24	B=snow day calculator	C=Other & Misc	D=246000	E=31	F=0	G=Informational	H=Video, Related searches
A=25	B=retirement calculator	C=Finance & Loans	D=246000	E=76	F=1.27	G=Commercial	H=Video, Short videos, Related searches, Ads top, Ads bottom
A=26	B=hours calculator	C=Date & Time	D=201000	E=82	F=2.72	G=Informational	H=Video, People also ask, Related searches
A=27	B=cd calculator	C=Finance & Loans	D=165000	E=42	F=1.48	G=Informational	H=Video, People also ask, Related searches
A=28	B=amortization calculator	C=Finance & Loans	D=246000	E=70	F=0.79	G=Informational	H=Video, Knowledge panel, Related searches, Ads top, Ads bottom
A=29	B=margin calculator	C=Finance & Loans	D=110000	E=49	F=4.12	G=Informational	H=Video, Related searches
A=30	B=calorie deficit calculator	C=Health & Fitness	D=246000	E=79	F=0.48	G=Informational	H=Sitelinks, Video, People also ask, Related searches
A=31	B=salary calculator	C=Finance & Loans	D=165000	E=80	F=2.16	G=Informational, Commercial	H=Sitelinks, AI Overview, Video, Related searches
A=32	B=pregnancy calculator	C=Pregnancy & Baby	D=201000	E=63	F=0.3	G=Informational	H=Sitelinks, Image, Video, People also ask, Related searches
A=33	B=ovulation calculator	C=Pregnancy & Baby	D=165000	E=73	F=1.19	G=Informational	H=Image, Video, People also ask, Related searches
A=34	B=mortgage payment calculator	C=Finance & Loans	D=201000	E=81	F=0.6	G=Commercial	H=Sitelinks, Video, Related searches, Ads top, Ads bottom
A=35	B=interest calculator	C=Finance & Loans	D=165000	E=73	F=1.1	G=Transactional	H=Video, People also ask, Related searches
A=36	B=dynasty trade calculator	C=Other & Misc	D=135000	E=45	F=0.79	G=Informational	H=Sitelinks, Video, Related searches
A=37	B=time card calculator	C=Date & Time	D=110000	E=61	F=2.68	G=Informational	H=Video, Related searches
A=38	B=percent change calculator	C=Math & Science	D=74000	E=62	F=7.83	G=Informational	H=Video, People also ask, Related searches
A=39	B=percentage increase calculator	C=Math & Science	D=74000	E=52	F=5.99	G=Informational	H=AI Overview, Video, Related searches
A=40	B=cpm calculator	C=Other & Misc	D=27100	E=29	F=36.48	G=Informational	H=Image pack, People also ask, Related searches
A=41	B=tax calculator	C=Finance & Loans	D=165000	E=78	F=0.82	G=Informational, Commercial	H=Video, Related searches
A=42	B=peptide calculator	C=Other & Misc	D=110000	E=50	F=1.23	G=Informational	H=Video, Related searches
A=43	B=401k calculator	C=Finance & Loans	D=135000	E=49	F=0.37	G=Informational	H=Video, People also ask, Related searches
A=44	B=height calculator	C=Other & Misc	D=90500	E=55	F=2.39	G=Informational	H=Sitelinks, Video, People also ask, Related searches
A=45	B=final grade calculator	C=Education & Grades	D=135000	E=45	F=0	G=Informational	H=Video, Related searches
A=46	B=integral calculator	C=Math & Science	D=110000	E=43	F=0.41	G=Informational	H=Sitelinks, Instant answer, Video, Related searches
A=47	B=tire size calculator	C=Other & Misc	D=110000	E=67	F=1.27	G=Informational	H=Video, Related searches
A=48	B=time clock calculator	C=Date & Time	D=90500	E=66	F=2.25	G=Informational	H=Video, Related searches
A=49	B=sales tax calculator	C=Finance & Loans	D=90500	E=64	F=2.1	G=Transactional	H=Video, Related searches
A=50	B=parlay calculator	C=Other & Misc	D=74000	E=82	F=5.81	G=Informational	H=Video, Related searches
A=51	B=hour calculator	C=Other & Misc	D=90500	E=79	F=2.72	G=Informational	H=Video, Related searches
A=52	B=personal loan calculator	C=Finance & Loans	D=60500	E=65	F=3	G=Commercial	H=People also ask, Related searches
A=53	B=time duration calculator	C=Math & Science	D=110000	E=40	F=0	G=Informational	H=Video, Related searches, Ads bottom
A=54	B=odds calculator	C=Other & Misc	D=49500	E=82	F=12.3	G=Informational	H=Video, Related searches
A=55	B=bah calculator	C=Other & Misc	D=74000	E=49	F=1.68	G=Informational	H=Video, Related searches
A=56	B=loan payment calculator	C=Finance & Loans	D=110000	E=80	F=1.01	G=Informational	H=AI Overview, Related searches
A=57	B=bmr calculator	C=Health & Fitness	D=135000	E=74	F=0.05	G=Informational	H=Video, People also ask, Related searches
A=58	B=pace calculator	C=Health & Fitness	D=90500	E=68	F=1.19	G=Commercial	H=Sitelinks, Video, Related searches
A=59	B=va disability calculator	C=Other & Misc	D=110000	E=51	F=0	G=Informational	H=Sitelinks, Video, Video carousel, People also ask, Related searches
A=60	B=trade calculator	C=Other & Misc	D=60500	E=43	F=1.81	G=Informational	H=Sitelinks, Video, Related searches
A=61	B=percentage difference calculator	C=Math & Science	D=40500	E=49	F=5.99	G=Informational	H=AI Overview, Video, People also ask, Related searches, Questions and answers
A=62	B=timecard calculator	C=Date & Time	D=60500	E=62	F=2.68	G=Informational	H=Video, Related searches
A=63	B=heloc calculator	C=Finance & Loans	D=49500	E=62	F=4.73	G=Informational	H=Sitelinks, AI Overview, Video, People also ask, Related searches, Ads top, Ads middle
A=64	B=standard deviation calculator	C=Math & Science	D=60500	E=57	F=2.25	G=Informational	H=Video, Short videos, People also ask, Related searches
A=65	B=chipotle nutrition calculator	C=Other & Misc	D=90500	E=45	F=0	G=Navigational	H=Sitelinks, Video, People also ask, Related searches
A=66	B=sleep calculator	C=Health & Fitness	D=74000	E=68	F=1.5	G=Informational	H=Video, Related searches
A=67	B=birth chart calculator	C=Other & Misc	D=90500	E=72	F=0.67	G=Informational	H=Video, Related searches, Ads top, Ads bottom
A=68	B=home equity loan calculator	C=Finance & Loans	D=49500	E=68	F=4.83	G=Commercial	H=Sitelinks, People also ask, Related searches, Ads bottom
A=69	B=bra size calculator	C=Conversion & Units	D=74000	E=51	F=0.65	G=Informational	H=Sitelinks, Image pack, Video, People also ask, Related searches
A=70	B=square footage calculator	C=Date & Time	D=74000	E=42	F=0.29	G=Informational	H=Video, People also ask, Related searches
A=71	B=ascvd risk calculator	C=Other & Misc	D=49500	E=47	F=2.26	G=Informational	H=Image, Video, People also ask, Related searches
A=72	B=macro calculator	C=Health & Fitness	D=90500	E=76	F=0.43	G=Informational	H=People also ask, Related searches
A=73	B=subnet calculator	C=Other & Misc	D=49500	E=61	F=3.01	G=Informational	H=Sitelinks, Video, Related searches
A=74	B=rmd calculator	C=Other & Misc	D=74000	E=50	F=0.31	G=Informational	H=AI Overview, Video, People also ask, Related searches
A=75	B=derivative calculator	C=Math & Science	D=74000	E=52	F=0.36	G=Informational	H=Instant answer, Video, Related searches
A=76	B=home loan calculator	C=Finance & Loans	D=74000	E=79	F=1.31	G=Commercial	H=Related searches, Ads bottom
A=77	B=income tax calculator	C=Finance & Loans	D=90500	E=79	F=0.35	G=Informational	H=Video, Related searches
A=78	B=weight loss calculator	C=Health & Fitness	D=60500	E=62	F=1.15	G=Informational	H=Sitelinks, Video, People also ask, Related searches
A=79	B=chronological age calculator	C=Date & Time	D=40500	E=29	F=1.66	G=Informational	H=Image pack, Video, Related searches
A=80	B=take home pay calculator	C=Other & Misc	D=60500	E=94	F=2.84	G=Informational, Commercial	H=Sitelinks, Video, Related searches
A=81	B=maintenance calorie calculator	C=Health & Fitness	D=74000	E=54	F=0.06	G=Informational	H=Sitelinks, Related searches
A=82	B=period calculator	C=Pregnancy & Baby	D=49500	E=38	F=0.83	G=Informational	H=Video, Related searches
A=83	B=tire calculator	C=Other & Misc	D=49500	E=61	F=1.65	G=Informational, Commercial	H=Sitelinks, Video, Related searches
A=84	B=average calculator	C=Date & Time	D=74000	E=59	F=0	G=Transactional	H=Video, People also ask, Related searches
A=85	B=1 rep max calculator	C=Health & Fitness	D=60500	E=38	F=0.01	G=Informational	H=Video, People also ask, Related searches
A=86	B=fantasy trade calculator	C=Other & Misc	D=60500	E=44	F=0	G=Informational	H=Sitelinks, Video, People also ask, Related searches
A=87	B=timesheet calculator	C=Date & Time	D=40500	E=65	F=2.74	G=Informational	H=Image, Video, Related searches
A=88	B=conception calculator	C=Pregnancy & Baby	D=60500	E=63	F=0.47	G=Informational	H=Sitelinks, Image, Video, People also ask, Related searches
A=89	B=body fat calculator	C=Health & Fitness	D=60500	E=62	F=0.44	G=Informational	H=Video, Related searches
A=90	B=math calculator	C=Other & Misc	D=90500	E=100	F=0.27	G=Informational	H=Sitelinks, Instant answer, Video, People also ask, Related searches
A=91	B=tax return calculator	C=Finance & Loans	D=60500	E=70	F=0.67	G=Commercial	H=Video, People also ask, Related searches
A=92	B=usps shipping calculator	C=Other & Misc	D=60500	E=58	F=0.29	G=Navigational, Transactional	H=Sitelinks, Video, People also ask, Related searches
A=93	B=one rep max calculator	C=Health & Fitness	D=74000	E=68	F=0.01	G=Informational	H=Video, Short videos, Related searches
A=94	B=dividend calculator	C=Finance & Loans	D=33100	E=35	F=2.05	G=Informational	H=Sitelinks, Video, Related searches
A=95	B=savings calculator	C=Finance & Loans	D=49500	E=58	F=0.92	G=Informational	H=Sitelinks, AI Overview, Video, Related searches
A=96	B=gravel calculator	C=Home & Construction	D=40500	E=44	F=1.22	G=Informational	H=Sitelinks, Video, People also ask, Related searches
A=97	B=1rm calculator	C=Health & Fitness	D=60500	E=50	F=0.01	G=Informational	H=Video, Related searches
A=98	B=high yield savings account calculator	C=Finance & Loans	D=33100	E=47	F=2.6	G=Commercial	H=Video, People also ask, Related searches, Ads bottom
A=99	B=calendar calculator	C=Other & Misc	D=49500	E=69	F=1.25	G=Informational	H=Video, Video carousel, People also ask, Related searches
A=100	B=sip calculator	C=Other & Misc	D=49500	E=77	F=1.64	G=Informational	H=Video, People also ask, Related searches
A=101	B=apy calculator	C=Finance & Loans	D=40500	E=61	F=1.93	G=Commercial	H=Video, People also ask, Related searches
A=102	B=square foot calculator	C=Other & Misc	D=49500	E=43	F=0.29	G=Informational	H=Video, People also ask, Related searches
A=103	B=refinance calculator	C=Finance & Loans	D=40500	E=75	F=2.59	G=Commercial	H=Sitelinks, Video, People also ask, Related searches, Ads bottom
A=104	B=cost of living calculator	C=Other & Misc	D=49500	E=77	F=1.38	G=Informational	H=Video, Related searches
A=105	B=car loan payment calculator	C=Finance & Loans	D=60500	E=77	F=0.43	G=Commercial	H=Sitelinks, Video, People also ask, Related searches
A=106	B=creatinine clearance calculator	C=Health & Fitness	D=27100	E=42	F=3	G=Informational	H=Image, Video, People also ask, Related searches
A=107	B=pythagorean theorem calculator	C=Math & Science	D=33100	E=37	F=1.3	G=Informational	H=Instant answer, Video, Video carousel, People also ask, Knowledge panel, Related searches, See results about
A=108	B=mortgage payoff calculator	C=Finance & Loans	D=49500	E=65	F=0.63	G=Informational	H=Sitelinks, Video, People also ask, Related searches
A=109	B=asphalt calculator	C=Home & Construction	D=22200	E=19	F=2.72	G=Informational	H=Video, People also ask, Related searches, Ads bottom
A=110	B=cubic feet calculator	C=Finance & Loans	D=27100	E=42	F=2.81	G=Informational	H=Sitelinks, Instant answer, Video, People also ask, Related searches
A=111	B=future value calculator	C=Other & Misc	D=40500	E=37	F=0.36	G=Informational	H=Video, Related searches
A=112	B=protein calculator	C=Health & Fitness	D=49500	E=57	F=0.3	G=Informational	H=Video, People also ask, Related searches
A=113	B=annuity calculator	C=Finance & Loans	D=33100	E=60	F=2.3	G=Commercial	H=Video, People also ask, Related searches
A=114	B=grow a garden calculator	C=Home & Construction	D=40500	E=24	F=0	G=Informational, Transactional	H=Video, Related searches
A=115	B=ups shipping calculator	C=Other & Misc	D=49500	E=63	F=0.41	G=Navigational, Transactional	H=Video, People also ask, Related searches
A=116	B=map calculator	C=Other & Misc	D=60500	E=69	F=0	G=Informational	H=Image, Image pack, Video, People also ask, Related searches
A=117	B=crcl calculator	C=Other & Misc	D=22200	E=47	F=4.89	G=Informational	H=Video, Related searches
A=118	B=mortgage affordability calculator	C=Finance & Loans	D=40500	E=71	F=1.53	G=Informational	H=Video, Related searches, Ads bottom
A=119	B=gold calculator	C=Other & Misc	D=40500	E=40	F=0.34	G=Informational	H=Sitelinks, Video, Related searches
A=120	B=car insurance calculator	C=Other & Misc	D=14800	E=52	F=14.31	G=Commercial	H=Video, People also ask, Related searches
A=121	B=final exam calculator	C=Other & Misc	D=49500	E=50	F=0	G=Informational	H=Video, People also ask, Related searches
A=122	B=time sheet calculator	C=Date & Time	D=33100	E=63	F=2.18	G=Informational	H=Video, Related searches
A=123	B=work hours calculator	C=Date & Time	D=40500	E=78	F=1.76	G=Informational	H=Related searches
A=124	B=life path calculator	C=Other & Misc	D=27100	E=50	F=2.72	G=Informational	H=Sitelinks, Video, People also ask, Related searches
A=125	B=credit card interest calculator	C=Finance & Loans	D=27100	E=58	F=3.2	G=Informational	H=Video, People also ask, Related searches
A=126	B=life expectancy calculator	C=Other & Misc	D=33100	E=52	F=1.3	G=Informational	H=AI Overview, Video, People also ask, Related searches
A=127	B=reverse mortgage calculator	C=Finance & Loans	D=14800	E=33	F=8.21	G=Informational	H=Sitelinks, AI Overview, People also ask, Related searches, Ads bottom
A=128	B=betting odds calculator	C=Other & Misc	D=22200	E=79	F=8.59	G=Informational	H=Related searches
A=129	B=car calculator	C=Other & Misc	D=49500	E=81	F=0.66	G=Informational	H=Sitelinks, Video, Related searches
A=130	B=hourly to salary calculator	C=Finance & Loans	D=49500	E=67	F=0.24	G=Informational	H=Sitelinks, Video, Related searches
A=131	B=mulch calculator	C=Home & Construction	D=33100	E=27	F=0.29	G=Informational	H=Video, Video carousel, Related searches
A=132	B=financial calculator	C=Other & Misc	D=49500	E=81	F=0.57	G=Informational, Transactional	H=Sitelinks, Video, People also ask, Related searches, Things to know, Ads top
A=133	B=loan amortization calculator	C=Finance & Loans	D=33100	E=71	F=2.12	G=Informational	H=Knowledge panel, Related searches, Ads bottom
A=134	B=illinois paycheck calculator	C=Finance & Loans	D=14800	E=23	F=5.8	G=Informational	H=Related searches
A=135	B=palworld breeding calculator	C=Other & Misc	D=40500	E=39	F=0	G=Informational	H=Sitelinks, Image, Image pack, Video, Related searches
A=136	B=rent calculator	C=Finance & Loans	D=40500	E=59	F=0.48	G=Informational	H=Video, Related searches
A=137	B=loan payoff calculator	C=Finance & Loans	D=27100	E=57	F=2.42	G=Commercial	H=Video, Related searches
A=138	B=ebay fee calculator	C=Finance & Loans	D=22200	E=48	F=1.6	G=Informational, Transactional	H=Sitelinks, Video, People also ask, Knowledge panel, Related searches, Ads top, Ads bottom
A=139	B=a1c calculator	C=Health & Fitness	D=18100	E=30	F=3.59	G=Informational	H=Video, People also ask, Related searches
A=140	B=cd rate calculator	C=Finance & Loans	D=27100	E=46	F=1.56	G=Commercial	H=Video, People also ask, Related searches
A=141	B=student loan calculator	C=Finance & Loans	D=27100	E=71	F=3.23	G=Commercial	H=People also ask, Related searches
A=142	B=day calculator	C=Other & Misc	D=49500	E=66	F=0	G=Informational, Transactional	H=Video, People also ask, Related searches
A=143	B=va loan calculator	C=Finance & Loans	D=22200	E=72	F=5.62	G=Informational	H=Sitelinks, Video, People also ask, Related searches
A=144	B=stair calculator	C=Home & Construction	D=22200	E=43	F=2.6	G=Informational	H=Video, Video carousel, Related searches
A=145	B=long division calculator	C=Other & Misc	D=27100	E=44	F=1.35	G=Informational	H=Video, Related searches
A=146	B=lottery calculator	C=Finance & Loans	D=33100	E=57	F=0.93	G=Informational	H=Video, Related searches
A=147	B=aspect ratio calculator	C=Math & Science	D=14800	E=30	F=5.63	G=Informational	H=Sitelinks, Image pack, Video, People also ask, Related searches, Ads top
A=148	B=heloc payment calculator	C=Finance & Loans	D=22200	E=64	F=4.24	G=Commercial	H=Sitelinks, People also ask, Related searches, Ads bottom
A=149	B=gfr calculator	C=Health & Fitness	D=22200	E=40	F=2.17	G=Informational	H=Image, Video, Video carousel, People also ask, Related searches
A=150	B=right triangle calculator	C=Math & Science	D=33100	E=66	F=1.22	G=Informational	H=AI Overview, Image pack, Video, Related searches
A=151	B=compounding interest calculator	C=Finance & Loans	D=40500	E=63	F=0.33	G=Commercial	H=Related searches, Ads top, Ads bottom
A=152	B=days calculator	C=Date & Time	D=49500	E=72	F=0	G=Informational, Transactional	H=Video, Related searches
A=153	B=crypto calculator	C=Finance & Loans	D=27100	E=66	F=2.37	G=Informational	H=Video, Related searches
A=154	B=payment calculator home equity line	C=Finance & Loans	D=22200	E=67	F=4.24	G=Commercial	H=Sitelinks, People also ask, Related searches
A=155	B=credit card payoff calculator	C=Other & Misc	D=22200	E=37	F=1.83	G=Commercial	H=Video, People also ask, Related searches
A=156	B=gas calculator	C=Other & Misc	D=27100	E=67	F=2.32	G=Transactional	H=Video, People also ask, Related searches
A=157	B=molarity calculator	C=Math & Science	D=22200	E=40	F=1.85	G=Informational	H=Video, People also ask, Related searches
A=158	B=powerball calculator	C=Other & Misc	D=18100	E=59	F=5.56	G=Informational	H=Video, Related searches
A=159	B=discount calculator	C=Other & Misc	D=40500	E=55	F=0.01	G=Informational	H=Video, Video carousel, Related searches
A=160	B=mortgage loan calculator	C=Finance & Loans	D=40500	E=83	F=0.79	G=Commercial	H=Sitelinks, People also ask, Related searches
A=161	B=new york salary calculator	C=Finance & Loans	D=14800	E=51	F=7.58	G=Informational	H=Related searches
A=162	B=strength calculator	C=Other & Misc	D=14800	E=24	F=3.85	G=Navigational	H=Sitelinks, Video, Related searches
A=163	B=mortgage refinance calculator	C=Finance & Loans	D=27100	E=71	F=2.31	G=Commercial	H=Sitelinks, Video, People also ask, Related searches
A=164	B=body fat percentage calculator	C=Health & Fitness	D=33100	E=55	F=0.52	G=Informational	H=Video, Related searches
A=165	B=car finance calculator	C=Other & Misc	D=40500	E=75	F=0.46	G=Commercial	H=Video, Related searches
A=166	B=ratio calculator	C=Math & Science	D=27100	E=48	F=1.04	G=Informational	H=Video, People also ask, Related searches
A=167	B=bottleneck calculator	C=Other & Misc	D=40500	E=58	F=0	G=Informational	H=Sitelinks, Image, Video, Related searches
